hotel_id,star_rating,name,description,brand,address.addr1,address.city,address.region,address.country,address.postal_code,latitude,longitude,neighborhood[0],base_price,image[0].url,url
281,5,OZKAYMAK INCEKUM HOTEL,OZKAYMAK INCEKUM HOTEL,OZKAYMAK INCEKUM HOTEL,Incekum - Alanya,Incekum - Alanya,Incekum - Alanya,Тürgi,00000,,,Incekum - Alanya,865 EUR,https://img.tezapi.eu/hotel/3263/ince_kum_jpeg_4_9740_middle.jpg,https://www.teztour.ee/tours/70688449d8ef543ceb2100cf67855950/cityId/3746/countryId/1104/adults/2/hotel/281/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
343,5,PALOMA GRIDA,PALOMA GRIDA,PALOMA GRIDA,Belek,Belek,Belek,Тürgi,00000,,,Belek,1681 EUR,https://img.tezapi.eu/hotel/1717/Lagoon_6251_middle.jpg,https://www.teztour.ee/tours/cdb48598482bee59ee4dadd98a981d0c/cityId/3746/countryId/1104/adults/2/hotel/343/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
6652,5,RIXOS PREMIUM TEKIROVA - THE LAND OF LEGENDS FREE ACCESS,RIXOS PREMIUM TEKIROVA - THE LAND OF LEGENDS FREE ACCESS,RIXOS PREMIUM TEKIROVA - THE LAND OF LEGENDS FREE ACCESS,Kemer,Kemer,Kemer,Тürgi,00000,,,Kemer,2832 EUR,https://img.tezapi.eu/hotel/3964/10_Rixos_Pr__Tekirova_Paragliding_6109_middle.jpeg,https://www.teztour.ee/tours/c992d3269326b2abf805fcd47bdb183f/cityId/3746/countryId/1104/adults/2/hotel/6652/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
11495,5,AKRA ANTALYA,AKRA ANTALYA,AKRA ANTALYA,Antalya,Antalya,Antalya,Тürgi,00000,,,Antalya,1768 EUR,https://img.tezapi.eu/hotel/1610/Pool_Bar_11_1__jpg_1__2182_middle.jpg,https://www.teztour.ee/tours/55171ebf909c154b0776e6e9d197eceb/cityId/3746/countryId/1104/adults/2/hotel/11495/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
14054,5,SWANDOR HOTELS & RESORT TOPKAPI PALACE,SWANDOR HOTELS & RESORT TOPKAPI PALACE,SWANDOR HOTELS & RESORT TOPKAPI PALACE,Antalya,Antalya,Antalya,Тürgi,00000,,,Antalya,1761 EUR,https://img.tezapi.eu/hotel/1649/001-A-exterior_108911442_4509_middle.jpg,https://www.teztour.ee/tours/d4875c3a63ce06721e59bca06e890cb3/cityId/3746/countryId/1104/adults/2/hotel/14054/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
14056,HV-1,SIU COLLECTION,SIU COLLECTION,SIU COLLECTION,Kemer,Kemer,Kemer,Тürgi,00000,,,Kemer,906 EUR,https://img.tezapi.eu/hotel/2814/01__40__4524_middle.JPG,https://www.teztour.ee/tours/7e0306746d3f0b5f57ee229ca6d69a47/cityId/3746/countryId/1104/adults/2/ages/4/hotel/14056/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/6/maxNights/9/currencyId/18864.et.html
14086,5,LIMAK ATLANTIS DELUXE HOTEL & RESORT,LIMAK ATLANTIS DELUXE HOTEL & RESORT,LIMAK ATLANTIS DELUXE HOTEL & RESORT,Belek,Belek,Belek,Тürgi,00000,,,Belek,914 EUR,https://img.tezapi.eu/hotel/4262/01__4__1000_middle.jpg,https://www.teztour.ee/tours/b2511e7f1bf1ff4800625ae64ff5dacd/cityId/3746/countryId/1104/adults/2/ages/4/hotel/14086/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/6/maxNights/9/currencyId/18864.et.html
14095,5,BEACH CLUB DOGANAY,BEACH CLUB DOGANAY,BEACH CLUB DOGANAY,Incekum - Alanya,Incekum - Alanya,Incekum - Alanya,Тürgi,00000,,,Incekum - Alanya,965 EUR,https://img.tezapi.eu/hotel/1380/SRF_1103_9540_middle.jpg,https://www.teztour.ee/tours/ac2cf00a3b3005bdb569615119c2d234/cityId/3746/countryId/1104/adults/2/hotel/14095/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
14445,5,SAPHIR HOTEL & VILLAS,SAPHIR HOTEL & VILLAS,SAPHIR HOTEL & VILLAS,Incekum - Alanya,Incekum - Alanya,Incekum - Alanya,Тürgi,00000,,,Incekum - Alanya,1169 EUR,https://img.tezapi.eu/hotel/1414/08_2404_middle.jpg,https://www.teztour.ee/tours/a9165061f449925830d18d623d72dba7/cityId/3746/countryId/1104/adults/2/hotel/14445/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
14452,5,TURUNC RESORT HOTEL,TURUNC RESORT HOTEL,TURUNC RESORT HOTEL,Marmaris,Marmaris,Marmaris,Тürgi,00000,,,Marmaris,1766 EUR,https://img.tezapi.eu/hotel/189/01__3__7330_middle.jpg,https://www.teztour.ee/tours/dc7e9c6bc056a3564677fe1181647b35/cityId/3746/countryId/1104/adults/2/hotel/14452/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
