Property ID,Property name,Final URL,Image URL,Destination name,Description,Price,Sale price,Star rating,Category,Contextual keywords,Address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID
14445,SAPHIR HOTEL & VILLAS,https://www.teztour.ee/tours/ffae5a3cabc33178f65b329ebdcd2d2a/cityId/3746/countryId/1104/adults/2/hotel/14445/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/12.09.2025/after/05.09.2025/minNights/7/maxNights/10/currencyId/18864.et.html,https://img.tezapi.eu/hotel/1414/08_2404_middle.jpg,Incekum - Alanya,SAPHIR HOTEL & VILLAS,1002 EUR,,5,Hotel,,"Incekum - Alanya, Incekum - Alanya, Turkey",,,,,,
14494,OZKAYMAK MARINA HOTEL,https://www.teztour.ee/tours/fbb64509d8e9bbd53efe2c2bfdfcc0a4/cityId/3746/countryId/1104/adults/2/hotel/14494/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/12.09.2025/after/05.09.2025/minNights/7/maxNights/10/currencyId/18864.et.html,https://img.tezapi.eu/hotel/3369/01__1__2603_middle.jpg,Kemer,OZKAYMAK MARINA HOTEL,855 EUR,,5,Hotel,,"Kemer, Kemer, Turkey",,,,,,
14935,CLUB HOTEL TURAN PRINCE WORLD,https://www.teztour.ee/tours/5125b5571ea3ee21c9bfad5906ee1155/cityId/3746/countryId/1104/adults/2/hotel/14935/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/01.10.2025/after/24.09.2025/minNights/2/maxNights/5/currencyId/18864.et.html,https://img.tezapi.eu/hotel/2065/AQUAPARK__6__5914_middle.jpg,Side,CLUB HOTEL TURAN PRINCE WORLD,590 EUR,,5,Hotel,,"Side, Side, Turkey",,,,,,
18458,PORTO BELLO HOTEL RESORT & SPA,https://www.teztour.ee/tours/4b4afcdc42676907186f95176e3c4f93/cityId/3746/countryId/1104/adults/2/hotel/18458/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/17.09.2025/after/10.09.2025/minNights/9/maxNights/12/currencyId/18864.et.html,https://img.tezapi.eu/hotel/240/001-P-outdoor-pool_84771600_678_middle.jpg,Antalya,PORTO BELLO HOTEL RESORT & SPA,1480 EUR,,5,Hotel,,"Antalya, Antalya, Turkey",,,,,,
42211,ANTIQUE ROMAN PALACE ADULT ONLY (16),https://www.teztour.ee/tours/e3207c96a0d6b3a1e54b451f05803188/cityId/3746/countryId/1104/adults/2/hotel/42211/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/12.09.2025/after/05.09.2025/minNights/7/maxNights/10/currencyId/18864.et.html,https://img.tezapi.eu/hotel/661/064-A-exterior_87226249_4595_middle.jpg,Incekum - Alanya,ANTIQUE ROMAN PALACE ADULT ONLY (16),904 EUR,,5,Hotel,,"Incekum - Alanya, Incekum - Alanya, Turkey",,,,,,
42232,MONTE CARLO HOTEL,https://www.teztour.ee/tours/ae3b3685d71bf000837e25984ae94b72/cityId/3746/countryId/1104/adults/2/hotel/42232/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/12.09.2025/after/05.09.2025/minNights/7/maxNights/10/currencyId/18864.et.html,https://img.tezapi.eu/hotel/1762/01_Genel___1__1869_middle.JPG,Incekum - Alanya,MONTE CARLO HOTEL,754 EUR,,4,Hotel,,"Incekum - Alanya, Incekum - Alanya, Turkey",,,,,,
42373,WASHINGTON RESORT HOTEL & SPA,https://www.teztour.ee/tours/13f2245478b29c0773ce30ddf54c84ad/cityId/3746/countryId/1104/adults/2/hotel/42373/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/12.09.2025/after/05.09.2025/minNights/7/maxNights/10/currencyId/18864.et.html,https://img.tezapi.eu/hotel/3796/01__19__7479_middle.jpg,Side,WASHINGTON RESORT HOTEL & SPA,1063 EUR,,5,Hotel,,"Side, Side, Turkey",,,,,,
49872,KLEOPATRA MICADOR  HOTEL,https://www.teztour.ee/tours/159158cd387f50900c4682cd171e6727/cityId/3746/countryId/1104/adults/2/hotel/49872/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/12.09.2025/after/05.09.2025/minNights/7/maxNights/10/currencyId/18864.et.html,https://img.tezapi.eu/hotel/132/02_DSC_5450_3601_middle.JPG,Incekum - Alanya,KLEOPATRA MICADOR  HOTEL,568 EUR,,4,Hotel,,"Incekum - Alanya, Incekum - Alanya, Turkey",,,,,,
110155,RING BEACH HOTEL,https://www.teztour.ee/tours/6f678483f8a93539ed1a723097374adc/cityId/3746/countryId/1104/adults/2/hotel/110155/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/12.09.2025/after/05.09.2025/minNights/7/maxNights/10/currencyId/18864.et.html,https://img.tezapi.eu/hotel/3205/DJI_20250528070415_0145_D_9855_middle.jpg,Kemer,RING BEACH HOTEL,848 EUR,,5,Hotel,,"Kemer, Kemer, Turkey",,,,,,
164338,DAIMA BIZ HOTEL,https://www.teztour.ee/tours/e46433f53d0a2bb0f24e5a0fcf932666/cityId/3746/countryId/1104/adults/2/hotel/164338/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/01.10.2025/after/24.09.2025/minNights/2/maxNights/5/currencyId/18864.et.html,https://img.tezapi.eu/hotel/2335/1_GG_1A_5295_middle.JPG,Kemer,DAIMA BIZ HOTEL,591 EUR,,5,Hotel,,"Kemer, Kemer, Turkey",,,,,,
